,sh.600025,sh.600026,sh.600028,sh.600039,sh.600085,sh.600111,sh.600160,sh.600188,sh.600415,sh.600674,sh.600795,sh.601058,sh.601088,sh.601127,sh.601169,sh.601225,sh.601288,sh.601328,sh.601600,sh.601699,sh.601857,sh.601898,sh.601899,sh.601985,sh.601988,sh.603260,sz.000301,sz.000408,sz.000807,sz.000963,sz.000983,sz.000999,sz.001965,sz.002028,sz.002466,sz.002594,sz.002920,sz.300274,sz.300308,sz.302132
sh.600025,0.00040608139206311437,7.9100547056108e-05,6.81934592048842e-05,8.880957535936651e-05,4.425231016407529e-05,8.73833458081425e-05,0.00012291490558684624,0.00015061875413675512,4.1150516361929354e-05,0.00022073305698519388,0.00022598425459350403,4.645692855285527e-05,0.00012250784279047413,0.0001150854693725929,4.276090268140698e-05,0.00011556234636580625,3.395428837815746e-05,4.024312097705919e-05,0.00015058024841720018,0.00014375974759588456,8.277158138578385e-05,0.00013558656626249353,5.388237973999159e-05,0.0001906133568507414,3.122323405757428e-05,6.45497477247503e-05,8.425447628680489e-05,4.7453017036290525e-05,0.00013927532209414455,5.5908126440952225e-05,0.0001574407799212239,2.5159806577163814e-05,7.850969792822124e-05,8.757570372590788e-05,2.7384674294975285e-05,4.5276084852202235e-05,-2.614641874508377e-06,2.4667077197962245e-05,-4.622158388781555e-05,2.7010677710109125e-05
sh.600026,7.9100547056108e-05,0.001150359565160231,0.0001284143614028863,0.00010167530410187558,4.6443081322383895e-05,0.00010627557147581947,0.00014179334803346354,0.0003368369487151614,0.0001085793080018899,7.3972221335389e-05,0.00011208111222633279,5.707734862132836e-05,0.00022711415202880623,0.00021130166080833058,5.4947098122063386e-05,0.0002523531813625923,3.6356389718639645e-05,6.374524189696273e-05,0.0002719465472861264,0.0002715154109357989,0.00015678807344775048,0.0002856584940803436,0.00021345261287541867,0.00013023206254421374,3.342329401328121e-05,7.812395494071545e-05,0.00010235899684923385,8.878662068219658e-05,0.0002872549734970887,5.049464689005135e-05,0.0003051427499509475,3.4894037674430695e-05,0.00010995375006562874,0.00010141979889039116,0.0001263327929306867,7.696077456281818e-05,3.025722042961319e-05,-1.0799124842048787e-05,9.380157624356544e-05,0.00010662724957643162
sh.600028,6.81934592048842e-05,0.0001284143614028863,0.00022334248713591726,8.208825983077655e-05,5.2509719881310895e-05,9.065799563754543e-05,8.271374420061329e-05,0.00021620249380080813,8.224668619334333e-05,6.945027156343411e-05,8.590165279829394e-05,1.3211336429481705e-05,0.00017166128860320926,1.975222595921713e-05,5.776771188656424e-05,0.00017634866396552438,6.149449763680407e-05,6.110121260160988e-05,0.00021322401923321412,0.0001797301292397189,0.00021275515685744955,0.0002039653249341917,0.00016447366478758807,0.00010758434767529791,5.916541516854739e-05,2.6707439950013137e-05,5.95394065928821e-05,3.388697374767765e-05,0.00019910411641753782,3.336223646190342e-05,0.00020156895461890035,5.389185150190111e-05,8.860862396438837e-05,3.1574983634345314e-05,3.484886998671008e-05,-2.145444767555428e-05,-4.136367794039996e-05,-4.884365423145061e-05,3.0847600548077127e-05,3.8756685076652064e-05
sh.600039,8.880957535936651e-05,0.00010167530410187558,8.208825983077655e-05,0.0008465130584714121,5.490606228768348e-05,0.00014019565584188137,0.00015762499643291958,9.270841237666673e-05,0.00010300798810468927,0.00010491335610420127,0.000139854189151977,0.00010652388160954212,9.04448073187602e-05,7.960319429839198e-05,4.141826696329876e-05,0.00012649284852134335,2.5244763618634035e-05,2.8521753194389426e-05,0.00014342382692832218,9.630485272966142e-05,0.00010069633430098422,0.00012134242770834967,0.00013273334087175457,0.00013529069096800462,2.7294202154518084e-05,6.357735307934354e-05,0.00013505816042834988,0.00012200419132013086,0.00016024934937392685,9.457197855855327e-05,0.00010291758010614029,6.622700323639045e-05,7.87098559918081e-05,0.00011831326102072076,6.784319767793554e-05,7.373512986117639e-05,7.757158370231787e-06,2.6999959181387915e-05,5.374140437592537e-05,7.217096652571615e-05
sh.600085,4.425231016407529e-05,4.6443081322383895e-05,5.2509719881310895e-05,5.490606228768348e-05,0.0006295769448551136,8.16321111892165e-05,6.377493789893514e-05,-3.273915178650633e-05,0.00011902376131915894,6.26886233127145e-05,5.549515814766658e-05,0.00014871755733539293,2.6306695845093157e-05,9.528836094752764e-05,3.5848650333125554e-05,1.3564465928919323e-05,2.592165317588331e-05,3.893601062148852e-05,0.00010611397088229786,-8.929426900165585e-06,4.231079169649299e-05,3.0396167389509082e-05,8.609639475226416e-05,8.697922856122384e-05,3.325071218003862e-05,6.736635751034573e-05,0.00012419634320151796,8.509147802753291e-05,0.00011542899267264338,0.00019492413232531303,2.4074188427153905e-05,0.000351979690046362,8.163137889932594e-05,9.634288344351591e-05,5.8480056885238005e-05,9.649538604143018e-05,0.00011091862884992062,9.897996898574525e-05,9.786136162587451e-05,0.00010560413041028367
sh.600111,8.73833458081425e-05,0.00010627557147581947,9.065799563754543e-05,0.00014019565584188137,8.16321111892165e-05,0.00110532351049282,0.0003756190507291876,0.0003054921661340708,7.643923618828119e-05,5.324459227749179e-05,0.00010247978300731878,0.0002796766890375319,0.00012044166178396799,0.00045816900421517755,2.928986002515474e-05,0.00018848579197258865,-4.114269001450644e-06,9.424300205534046e-06,0.0004531046148940309,0.0002357672998213214,0.00010826296257020451,0.00018939850121994255,0.0003623719958628305,0.00012907904380522474,-4.87317339069038e-07,0.0004443956325998352,0.00046236497391493654,0.0004382730440010696,0.00042872555318660316,0.00013491790130595418,0.0002999869755961904,5.3179845434935086e-05,4.818417686776455e-05,0.0002441009321757817,0.0005996404575900208,0.0003542565252772571,0.00022436780252562186,0.0003815800308602329,0.000143768409843341,0.0002521353909246937
sh.600160,0.00012291490558684624,0.00014179334803346354,8.271374420061329e-05,0.00015762499643291958,6.377493789893514e-05,0.0003756190507291876,0.0008505686283855637,0.00021708590998317212,9.522070389199855e-05,0.00010368808680061552,0.00013117710429079462,0.00023977075416519177,0.00012599572145715395,0.0002919730445202436,1.0699102047674346e-05,0.00018828412860298033,-9.134905920053169e-06,1.4222149179820685e-05,0.0003204315898944871,0.0002575066056510585,9.304177173535901e-05,0.00019002060618910225,0.00024164284951425414,0.00013923377356241036,-9.652579395493214e-06,0.00033907523801520026,0.00035954994480224986,0.00030114236715242344,0.00034505818725243624,9.835250750576416e-05,0.00025897724506534174,4.438453948616415e-05,5.3330342096256846e-05,0.00024024476188354014,0.00039630241025990994,0.00020039041331489977,0.0001917223020536367,0.0002443948852641063,5.516070171593411e-05,0.00015915685857662948
sh.600188,0.00015061875413675512,0.0003368369487151614,0.00021620249380080813,9.270841237666673e-05,-3.273915178650633e-05,0.0003054921661340708,0.00021708590998317212,0.001726326174732361,5.3291855918013625e-05,0.0001529187405037223,0.0001454645008618414,0.00011817104316999695,0.000578165027476128,0.000169698500068044,3.8320533107513665e-05,0.0006866622356518811,3.7146381807045676e-05,6.19474314265536e-05,0.000511162885546795,0.0007707425784415638,0.00029967879997547535,0.0007107736682194472,0.0003356255492317458,0.0001907940781501597,8.418607884800397e-05,0.00021610887366043332,0.00020981494931349257,0.00015341142205830703,0.0005574492809168335,-5.446413855371635e-06,0.0008064372337355411,-2.5013321452479018e-05,9.701167255349533e-05,5.1828433552093334e-05,0.00016976798822383068,2.9545962598709847e-05,-1.187719235941225e-05,-2.944034643278335e-07,-3.0060869580403263e-05,4.717386288599439e-05
sh.600415,4.1150516361929354e-05,0.0001085793080018899,8.224668619334333e-05,0.00010300798810468927,0.00011902376131915894,7.643923618828119e-05,9.522070389199855e-05,5.3291855918013625e-05,0.0006563354396783859,3.740818978370471e-05,4.9682397398167457e-05,9.371306055102032e-05,5.4734022958490606e-05,9.547220110870624e-05,5.467646953432172e-05,7.846518422818631e-05,2.8848299116791447e-05,6.0576071103635435e-05,0.0001401333083581021,9.234074383339137e-05,8.850669290175939e-05,8.684677229985435e-05,0.00010887775303038437,8.197085725109432e-05,3.9942120901191e-05,-1.7208105980436895e-05,7.886897754367127e-05,5.216783961955259e-05,0.0001359962391215161,0.00013197369564272237,0.00011713615163025863,8.80297317833133e-05,9.711975491419497e-05,2.612415651938138e-05,5.5884314348716574e-05,8.26905584395727e-05,5.808140488539078e-05,-7.129501736539925e-05,0.0001258770627026753,0.00011097030925991243
sh.600674,0.00022073305698519388,7.3972221335389e-05,6.945027156343411e-05,0.00010491335610420127,6.26886233127145e-05,5.324459227749179e-05,0.00010368808680061552,0.0001529187405037223,3.740818978370471e-05,0.00030440606753359944,0.00017641757453989458,9.215955190419609e-05,0.0001328463510493762,7.928614926499225e-05,3.527254801740725e-05,0.00011956095325336314,2.8866183511233015e-05,2.8255625429555005e-05,0.00014049762773978692,0.00012479929229280816,8.919427630392524e-05,0.00013645297700218064,5.18919567906359e-05,0.00017591167479078277,2.8288170798112843e-05,6.393255974368203e-05,8.278240946890253e-05,4.029946938954451e-05,0.00012383426196251783,8.348415723380761e-05,0.00014421583325518293,5.758615504003365e-05,7.46520873342261e-05,9.405228923806916e-05,3.2653928227232146e-05,6.475965787649533e-05,1.3913030111819763e-05,6.074734030073726e-05,4.6536041412147985e-06,1.736918990204528e-05
