,u3
sh.600000,0.04971740241407226
sh.600009,0.03585110087405857
sh.600010,-0.12605464114427822
sh.600011,-0.07997802531822826
sh.600015,0.025408938061289965
sh.600016,0.019730756987587195
sh.600018,-0.036657045241039216
sh.600019,-0.09935082328438159
sh.600023,-0.08423074334726738
sh.600025,-0.07682921936977449
sh.600026,-0.05873157769693233
sh.600027,-0.08183694829586181
sh.600028,-0.09410976229859075
sh.600029,0.021443476616263515
sh.600030,0.03947534025064684
sh.600031,0.035961550529117425
sh.600036,0.07322426504332043
sh.600039,-0.0462105680838574
sh.600048,0.02658573812591946
sh.600050,-0.011439528713144086
sh.600061,0.016558755039751856
sh.600066,-0.030219724978269493
sh.600085,0.021853854402216134
sh.600089,-0.10411963777197196
sh.600104,-0.012133104173775812
sh.600111,-0.12123843272411061
sh.600115,0.02200828313590697
sh.600150,-0.0885949546969815
sh.600160,-0.11145888870721989
sh.600161,0.03330748184253733
sh.600176,-0.024198324419365286
sh.600183,-0.0001479218924992423
sh.600188,-0.11421475783755108
sh.600196,0.04766986342056481
sh.600219,-0.11901008982115176
sh.600233,0.009815739263218975
sh.600276,0.09082472764954108
sh.600309,0.004144649268871884
sh.600332,0.04108169058998001
sh.600346,-0.026212610857691054
sh.600362,-0.12923382937830002
sh.600372,-0.05821799267338293
sh.600377,-0.010744734558263398
sh.600406,-0.049581994410337414
sh.600415,0.01741464642822342
sh.600426,-0.043708006990060916
sh.600436,0.09777030806099914
sh.600438,-0.0656219304137895
sh.600460,-0.031081243866102188
sh.600482,-0.06507338672678747
sh.600489,-0.09491737559184407
sh.600515,-0.0004577893911210741
sh.600519,0.13949209944270838
sh.600547,-0.07272394018629362
sh.600570,0.04477973595970141
sh.600584,-0.009512414529569833
sh.600585,0.02311561515801734
sh.600588,0.035175829718983746
sh.600600,0.09872511923684245
sh.600660,0.01471755984847401
sh.600674,-0.06355383356208794
sh.600690,0.09082378006900649
sh.600741,0.008734959992702152
sh.600760,-0.0377295303420722
sh.600795,-0.08671951954509365
sh.600803,-0.05303909400521535
sh.600809,0.11631661758199555
sh.600845,0.017087248988098897
sh.600875,-0.10504322315581756
sh.600886,-0.07486590779419698
sh.600887,0.09643813294886627
sh.600893,-0.054011426223025946
sh.600900,-0.0063835748927238214
sh.600918,0.01599267474052924
sh.600919,0.03389401797073824
sh.600926,0.06204498703426609
sh.600958,0.018280970921480844
sh.600989,-0.07950504167924605
sh.600999,0.03860669528474095
sh.601006,-0.015718863194151098
sh.601009,0.038723868812374544
sh.601012,-0.030007894184530915
sh.601021,0.0434856965187082
sh.601058,-0.030381662880972455
sh.601066,0.04837985464843068
sh.601077,0.00686986336869729
sh.601088,-0.11856968213560971
sh.601100,0.05365321262239619
sh.601111,0.023475250398965024
sh.601117,-0.08216394879768495
sh.601127,-0.06545491054628612
sh.601138,0.02020217002048427
sh.601166,0.054186671386253896
sh.601169,0.019327085102573156
sh.601186,-0.03362878134483539
sh.601211,0.02744974795072241
sh.601225,-0.11452742954992894
sh.601229,0.04989310596032541
sh.601236,0.03141764228166144
sh.601238,-0.05438410390257936
sh.601288,0.016231830222603324
sh.601298,-0.03132478998848595
sh.601318,0.06529361586967665
sh.601319,0.041258023412034675
sh.601328,0.01286002510228164
sh.601336,0.0501072712703452
sh.601360,0.009307933530285755
sh.601377,0.029314425594547548
sh.601390,-0.039069757744810356
sh.601398,0.0272151523868999
sh.601600,-0.13953152416605974
sh.601601,0.05553806584803191
sh.601607,0.016756970500630682
sh.601618,-0.10498873491055107
sh.601628,0.07595926415854186
sh.601633,-0.039058374717157236
sh.601658,0.030532313774331247
sh.601668,-0.011123030898665835
sh.601669,-0.08356187597066075
sh.601688,0.029658042131036958
sh.601689,-0.020790165527836732
sh.601698,-0.026984955239998817
sh.601699,-0.11420685777437939
sh.601766,-0.03882543751512141
sh.601788,0.028243781679041745
sh.601799,0.011048947246456558
sh.601800,-0.04067439812556314
sh.601808,-0.08370576357940622
sh.601816,0.026372680438685202
sh.601818,0.034162940249395146
sh.601838,0.043439167385752944
sh.601857,-0.09389247347195846
sh.601865,-0.06781774798231052
sh.601872,-0.08023781781012575
sh.601877,-0.06888942514272607
sh.601878,0.01966770603673465
sh.601881,0.03716339773983221
sh.601888,0.10320018622898362
sh.601898,-0.12546007047067137
sh.601899,-0.09340421732377983
sh.601901,0.02050815425918038
sh.601916,0.02301662523607759
sh.601919,-0.05324327979487377
sh.601939,0.020697368992658595
sh.601985,-0.09990967193891338
sh.601988,0.016109616563653856
sh.601998,0.030151228162687012
sh.603019,0.00946717499144538
sh.603195,0.04431663238921409
sh.603259,0.07427767585859832
sh.603260,-0.08148469543656321
sh.603288,0.11546386554813197
sh.603369,0.12327397260343083
sh.603392,0.035534273082880166
sh.603501,0.035042657539456575
sh.603799,-0.07025645258793192
sh.603806,-0.04773462217893044
sh.603833,0.07087679540048858
sh.603986,0.011604330631155561
sh.603993,-0.11153056385779687
sh.688008,0.005070553490055088
sh.688009,-0.029192662785408496
sh.688012,-0.01904958193443147
sh.688036,0.0498780651794939
sh.688111,0.0504369995044416
sh.688126,-0.020216852200784886
sh.688169,0.05987839249770471
sh.688256,0.000500327334066332
sh.688396,-0.0083842939762461
sh.688599,-0.08574847372949189
sh.688981,-0.013822027711829814
sz.000001,0.06385667869640414
sz.000002,0.04894165544293668
sz.000063,0.02364141625442861
sz.000100,-0.011033710055435964
sz.000157,0.010127697730212194
sz.000166,0.006420622363222706
sz.000301,-0.08482050092776311
sz.000333,0.11669526236753432
sz.000338,-0.006391165169102924
sz.000408,-0.09054905310199353
sz.000425,-0.014391306776777274
sz.000538,0.05565422920861743
sz.000568,0.12951829346173438
sz.000596,0.0966036995803322
sz.000617,-0.026928876461911715
sz.000625,-0.05590735954212119
sz.000630,-0.13765409936578696
sz.000651,0.07665064973492967
sz.000661,0.09273639519005618
sz.000708,-0.05690412693777994
sz.000725,-0.00661011439180399
sz.000768,-0.056942308768922915
sz.000776,0.014653617725815532
sz.000786,0.06555095882342524
sz.000792,-0.01698419578694909
sz.000800,-0.0513387928483441
sz.000807,-0.12221151400301176
sz.000858,0.1390624755095755
sz.000876,0.0251313951636783
sz.000895,0.08818803364899894
sz.000938,0.003312933687326337
sz.000963,0.04531547176096108
sz.000975,-0.07893571687033872
sz.000977,0.017683778996515846
sz.000983,-0.12438522448097014
sz.000999,0.010851346680921642
sz.001965,-0.024177338933765
sz.001979,0.015465635154429128
sz.002001,-0.0022992453858899824
sz.002027,0.06453560831326256
sz.002028,-0.061984080734568986
sz.002049,-0.04148053717358051
sz.002050,-0.028205791259459278
sz.002074,-0.063221255400222
sz.002129,-0.07116600712677537
sz.002142,0.07417654264624554
sz.002179,-0.03770752360468198
sz.002180,-0.014395835289082441
sz.002230,0.03135422730243709
sz.002236,0.02411956024712815
sz.002241,-0.0011861576419841878
sz.002252,0.02842387730435316
sz.002304,0.10990952157791448
sz.002311,0.07544838837342796
sz.002352,0.06447885553189023
sz.002371,-0.018825759044243443
sz.002415,0.06179559393161908
sz.002422,0.02169642598226802
sz.002459,-0.06545360155638512
sz.002460,-0.08086185147722208
sz.002463,-0.008578632192818441
sz.002466,-0.09844082335973006
sz.002475,0.04387928176102193
sz.002493,-0.014505004281863906
sz.002594,-0.028871282850642395
sz.002600,-0.009041475776163899
sz.002601,-0.05722752939251186
sz.002648,-0.04130017102250063
sz.002709,-0.04583628683886197
sz.002714,0.03752991140984255
sz.002736,0.028581363259435357
sz.002916,0.010611225789741491
sz.002920,-0.0068852394173237
sz.002938,0.03339737866425621
sz.003816,-0.09386386957096196
sz.300014,-0.04153943782277549
sz.300015,0.08502071144831545
sz.300033,0.03638012646906188
sz.300059,0.03334940020824256
sz.300122,0.05451387479703591
sz.300124,0.0004637654073716246
sz.300274,-0.055200575674316535
